"No","Kode Kemendagri","Kabupaten","Provinsi","Ibu Kota","Kecamatan","Kecamatan/Desa"
"370.","52.07","Kabupaten Sumbawa Barat","Nusa Tenggara Barat","Taliwang","08","064"
"371.","32.11","Kabupaten Sumedang","Jawa Barat","Sumedang","26","277"
"372.","35.29","Kabupaten Sumenep","Jawa Timur","Sumenep","27","334"
"373.","91.19","Kabupaten Supiori","Papua","Sorendiweri","05","038"
"374.","63.09","Kabupaten Tabalong","Kalimantan Selatan","Tanjung","12","131"
"375.","51.02","Kabupaten Tabanan","Bali","Tabanan","10","133"
"376.","73.05","Kabupaten Takalar","Sulawesi Selatan","Pattalassang","09","100"
"377.","92.09","Kabupaten Tambrauw","Papua Barat Daya","Fef","29","216"
"378.","65.04","Kabupaten Tana Tidung","Kalimantan Utara","Tideng Pale","05","032"
"379.","73.18","Kabupaten Tana Toraja","Sulawesi Selatan","Makale","19","159"
"380.","63.10","Kabupaten Tanah Bumbu","Kalimantan Selatan","Batulicin","10","149"
"381.","13.04","Kabupaten Tanah Datar","Sumatra Barat","Batusangkar","14","075"
"382.","63.01","Kabupaten Tanah Laut","Kalimantan Selatan","Pelaihari","11","135"
"383.","36.03","Kabupaten Tangerang","Banten","Tigaraksa","29","274"
"384.","18.06","Kabupaten Tanggamus","Lampung","Kota Agung","20","302"
"385.","15.06","Kabupaten Tanjung Jabung Barat","Jambi","Kuala Tungkal","13","134"
"386.","15.07","Kabupaten Tanjung Jabung Timur","Jambi","Muara Sabak","11","093"
"387.","12.03","Kabupaten Tapanuli Selatan","Sumatra Utara","Sipirok","14","248"
"388.","12.01","Kabupaten Tapanuli Tengah","Sumatra Utara","Pandan","20","215"
"389.","12.02","Kabupaten Tapanuli Utara","Sumatra Utara","Tarutung","15","252"
"390.","63.05","Kabupaten Tapin","Kalimantan Selatan","Rantau","12","135"
"391.","32.06","Kabupaten Tasikmalaya","Jawa Barat","Singaparna","39","351"
"392.","15.09","Kabupaten Tebo","Jambi","Muara Tebo","12","112"
"393.","33.28","Kabupaten Tegal","Jawa Tengah","Slawi","18","287"
"394.","92.06","Kabupaten Teluk Bintuni","Papua Barat","Bintuni","24","117"
"395.","92.07","Kabupaten Teluk Wondama","Papua Barat","Rasiei","13","76"
"396.","33.23","Kabupaten Temanggung","Jawa Tengah","Temanggung","20","289"
"397.","53.02","Kabupaten Timor Tengah Selatan","Nusa Tenggara Timur","Soe","32","278"
"398.","53.03","Kabupaten Timor Tengah Utara","Nusa Tenggara Timur","Kefamenanu","24","193"
"399.","12.12","Kabupaten Toba","Sumatra Utara","Balige","16","244"
"400.","72.09","Kabupaten Tojo Una Una","Sulawesi Tengah","Ampana","12","146"
"401.","91.14","Kabupaten Tolikara","Papua Pegunungan","Karubaga","46","545"
"402.","72.04","Kabupaten Tolitoli","Sulawesi Tengah","Tolitoli","10","109"
"403.","73.26","Kabupaten Toraja Utara","Sulawesi Selatan","Rantepao","21","151"
"404.","35.03","Kabupaten Trenggalek","Jawa Timur","Trenggalek","14","157"
"405.","35.23","Kabupaten Tuban","Jawa Timur","Tuban","20","328"
"406.","18.05","Kabupaten Tulang Bawang","Lampung","Menggala","15","151"
"407.","18.12","Kabupaten Tulang Bawang Barat","Lampung","Tulang Bawang Tengah","09","096"
"408.","35.04","Kabupaten Tulungagung","Jawa Timur","Tulungagung","19","271"
"409.","73.13","Kabupaten Wajo","Sulawesi Selatan","Sengkang","14","190"
"410.","74.07","Kabupaten Wakatobi","Sulawesi Tenggara","Wangi Wangi","08","101"
"411.","91.15","Kabupaten Waropen","Papua","Botawa","11","100"
"412.","18.08","Kabupaten Way Kanan","Lampung","Blambangan Umpu","14","227"
"413.","33.12","Kabupaten Wonogiri","Jawa Tengah","Wonogiri","25","294"
"414.","33.07","Kabupaten Wonosobo","Jawa Tengah","Wonosobo","15","265"
"415.","91.13","Kabupaten Yahukimo","Papua Pegunungan","Sumohai","51","511"
"416.","91.22","Kabupaten Yalimo","Papua Pegunungan","Elelim","05","300"
